Title,Description,Priority,Status,Estimate,Labels,Project,Milestone,Parent issue,Blocked by
"[EPIC] Platform Foundation","Shared kernel: Clean Architecture solution, multi-tenancy, event bus, caching, API infrastructure. Blocks all other epics.",1,Todo,,epic;backend;foundation,Student SaaS,MVP Phase 1,,
"[EPIC] Identity & RBAC","Authentication, JWT/refresh tokens, user management, roles, permissions, scope-based authorization.",1,Todo,,epic;backend;security,Student SaaS,MVP Phase 1,,
"[EPIC] Audit & Compliance","Centralized audit logging, entity change tracking, audit viewer API.",2,Todo,,epic;backend;compliance,Student SaaS,MVP Phase 1,,
"[EPIC] Institution Management","Tenant provisioning, academic years, grades, classes, sections, subjects, staff.",2,Todo,,epic;backend,Student SaaS,MVP Phase 1,,
"[EPIC] Student Management","Student CRUD, guardians, enrollment, documents (MVP scope).",2,Todo,,epic;backend,Student SaaS,MVP Phase 1,,
"[EPIC] Attendance","Daily attendance marking, edit policy, parent visibility.",3,Todo,,epic;backend,Student SaaS,MVP Phase 1,,
"[EPIC] Fees Management","Fee structures, invoicing, manual payments, receipts, dues.",3,Todo,,epic;backend,Student SaaS,MVP Phase 1,,
"[EPIC] Notifications","Email + in-app notifications driven by domain events.",3,Todo,,epic;backend,Student SaaS,MVP Phase 1,,
"[EPIC] Admin Web App","Angular 19 admin portal: shell, auth, and all MVP feature UIs.",3,Todo,,epic;frontend,Student SaaS,MVP Phase 1,,
"[EPIC] Parent Mobile App","Flutter parent app: auth, child selector, attendance, fees.",4,Todo,,epic;mobile,Student SaaS,MVP Phase 1,,
"[EPIC] DevOps & Deployment","Docker, CI/CD, Nginx, VPS deployment, health checks, backups.",1,Todo,,epic;devops,Student SaaS,MVP Phase 1,,
CreateSolutionStructure,"Create SchoolSaaS.sln with Api, Application, Domain, Infrastructure, Shared projects. Modular folder structure under Modules/.",1,Todo,3,backend;foundation,Sprint 1,[EPIC] Platform Foundation,,
DefineBaseEntity,"Abstract BaseEntity: Id, TenantId, CreatedAt, UpdatedAt, CreatedBy, IsDeleted. AuditableEntity extends with change metadata.",1,Todo,2,backend;foundation,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
ConfigureEfCorePostgreSql,"Register DbContext, PostgreSQL provider, snake_case naming convention, connection string per environment.",1,Todo,3,backend;database,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
DefineITenantContext,"Interface: TenantId, BranchId?, UserId. Scoped DI registration.",1,Todo,2,backend;tenancy,Sprint 1,[EPIC] Platform Foundation,DefineBaseEntity
ImplementTenantContextMiddleware,"Resolve tenant from JWT claim. Reject requests with missing/invalid tenant.",1,Todo,3,backend;tenancy,Sprint 1,[EPIC] Platform Foundation,DefineITenantContext
CreateTenantQueryFilter,"EF Core global query filter on TenantId for all tenant-scoped entities.",1,Todo,3,backend;tenancy,Sprint 1,[EPIC] Platform Foundation,ConfigureEfCorePostgreSql;DefineITenantContext
CreateTenantSaveChangesInterceptor,"Auto-stamp TenantId on insert. Prevent cross-tenant writes.",1,Todo,2,backend;tenancy,Sprint 1,[EPIC] Platform Foundation,CreateTenantQueryFilter
RegisterMediatRPipeline,"Register MediatR with assembly scanning from all module assemblies.",1,Todo,2,backend;foundation,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
CreateValidationBehavior,"MediatR pipeline: run FluentValidation before handler execution.",1,Todo,2,backend;validation,Sprint 1,[EPIC] Platform Foundation,RegisterMediatRPipeline
CreateLoggingBehavior,"MediatR pipeline: structured Serilog logging with CorrelationId.",1,Todo,2,backend;foundation,Sprint 1,[EPIC] Platform Foundation,RegisterMediatRPipeline
CreateTenantBehavior,"MediatR pipeline: inject ITenantContext into handlers.",1,Todo,2,backend;tenancy,Sprint 1,[EPIC] Platform Foundation,DefineITenantContext;RegisterMediatRPipeline
DefineResultPattern,"Result<T>, Error, ValidationError types for consistent handler responses.",1,Todo,2,backend;foundation,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
DefineGlobalExceptionHandler,"RFC 7807 ProblemDetails middleware. Map domain exceptions to HTTP status.",1,Todo,3,backend;api,Sprint 1,[EPIC] Platform Foundation,DefineResultPattern
ConfigureApiVersioning,"ASP.NET API versioning with URL segment /api/v1/.",1,Todo,2,backend;api,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
ConfigureSwaggerOpenApi,"Swagger UI with JWT bearer + X-Tenant-Id header documentation.",1,Todo,2,backend;api,Sprint 1,[EPIC] Platform Foundation,ConfigureApiVersioning
ConfigureFluentValidationAssemblyScan,"Auto-register validators from all module assemblies on startup.",1,Todo,1,backend;validation,Sprint 1,[EPIC] Platform Foundation,CreateValidationBehavior
CreateTenantsTableMigration,"tenants table: id, name, slug, status, plan, settings_json, timestamps.",1,Todo,2,database;tenancy,Sprint 1,[EPIC] Platform Foundation,ConfigureEfCorePostgreSql
CreateTenantSettingsTableMigration,"tenant_settings key-value store for institution configuration.",1,Todo,1,database;tenancy,Sprint 1,[EPIC] Platform Foundation,CreateTenantsTableMigration
DefineIntegrationEventBase,"Base class: EventId, TenantId, OccurredAt, EventType.",1,Todo,2,backend;events,Sprint 1,[EPIC] Platform Foundation,DefineBaseEntity
CreateOutboxMessageEntity,"Outbox table entity for transactional outbox pattern.",1,Todo,2,backend;events,Sprint 1,[EPIC] Platform Foundation,DefineIntegrationEventBase
ImplementOutboxSaveChangesInterceptor,"Capture domain events to outbox on SaveChanges.",1,Todo,3,backend;events,Sprint 1,[EPIC] Platform Foundation,CreateOutboxMessageEntity
CreateOutboxPublisherBackgroundService,"Poll outbox, publish to RabbitMQ, mark processed.",1,Todo,5,backend;events,Sprint 1,[EPIC] Platform Foundation,ImplementOutboxSaveChangesInterceptor
ConfigureRedisConnection,"StackExchange.Redis with tenant-prefixed cache keys.",2,Todo,2,backend;cache,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
CreateICacheService,"Get/Set/Remove/Invalidate with TTL support.",2,Todo,2,backend;cache,Sprint 1,[EPIC] Platform Foundation,ConfigureRedisConnection
CreateTestProjectStructure,"Unit, Integration, Architecture test projects with xUnit.",1,Todo,2,testing,Sprint 1,[EPIC] Platform Foundation,CreateSolutionStructure
CreateArchitectureTestRules,"NetArchTest: enforce layer dependency direction.",1,Todo,2,testing,Sprint 1,[EPIC] Platform Foundation,CreateTestProjectStructure
TenantIsolationIntegrationTest,"Verify tenant A cannot read/write tenant B data.",1,Todo,3,testing;tenancy,Sprint 1,[EPIC] Platform Foundation,CreateTenantQueryFilter
CreateDockerComposeLocal,"PostgreSQL, Redis, RabbitMQ local dev stack.",1,Todo,3,devops,Sprint 1,[EPIC] DevOps & Deployment,,
CreateDockerfileApi,"Multi-stage Docker build for API project.",1,Todo,2,devops,Sprint 1,[EPIC] DevOps & Deployment,CreateSolutionStructure
CiBuildApiWorkflow,"GitHub Actions: build, test, lint on PR.",1,Todo,3,devops,Sprint 1,[EPIC] DevOps & Deployment,CreateTestProjectStructure
CreateUserEntity,"users + user_profiles entities with tenant scope.",1,Todo,2,backend;database,Sprint 2,[EPIC] Identity & RBAC,DefineBaseEntity;CreateTenantsTableMigration
CreateUsersTableMigration,"users, user_profiles, refresh_tokens, login_attempts tables.",1,Todo,2,database,Sprint 2,[EPIC] Identity & RBAC,CreateUserEntity
RegisterUserCommand,"Command + Handler: admin-invited user registration.",1,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,CreateUserEntity
RegisterUserValidator,"Email unique per tenant, password strength rules.",1,Todo,2,backend;validation,Sprint 2,[EPIC] Identity & RBAC,RegisterUserCommand
InviteUserCommand,"Admin invites user by email with role pre-assignment.",1,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,RegisterUserCommand
AcceptInvitationCommand,"Complete registration from invitation token.",1,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,InviteUserCommand
LoginCommand,"Email/password login with tenant context.",1,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,CreateUserEntity
GenerateJwtTokenService,"JWT with tenant_id, user_id, role claims. Configurable expiry.",1,Todo,3,backend;security,Sprint 2,[EPIC] Identity & RBAC,LoginCommand
GenerateRefreshTokenService,"Refresh token generation, storage, rotation.",1,Todo,3,backend;security,Sprint 2,[EPIC] Identity & RBAC,GenerateJwtTokenService
RefreshTokenCommand,"Rotate refresh token, issue new access token.",1,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,GenerateRefreshTokenService
RevokeRefreshTokenCommand,"Logout: revoke refresh token in DB + Redis.",1,Todo,2,backend,Sprint 2,[EPIC] Identity & RBAC,RefreshTokenCommand
LoginAttemptTracker,"Redis-backed failed attempt counter with lockout policy.",1,Todo,3,backend;security,Sprint 2,[EPIC] Identity & RBAC,ConfigureRedisConnection
ForgotPasswordCommand,"Generate reset token, publish PasswordResetRequestedEvent.",2,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,CreateUserEntity
ResetPasswordCommand,"Validate token, update password, revoke all sessions.",2,Todo,3,backend,Sprint 2,[EPIC] Identity & RBAC,ForgotPasswordCommand
ChangePasswordCommand,"Authenticated user changes password with current password check.",2,Todo,2,backend,Sprint 2,[EPIC] Identity & RBAC,LoginCommand
LoginEndpoint,"POST /api/v1/auth/login",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,LoginCommand
RefreshTokenEndpoint,"POST /api/v1/auth/refresh",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,RefreshTokenCommand
LogoutEndpoint,"POST /api/v1/auth/logout",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,RevokeRefreshTokenCommand
RegisterUserEndpoint,"POST /api/v1/auth/register",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,RegisterUserCommand
InviteUserEndpoint,"POST /api/v1/users/invite",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,InviteUserCommand
GetCurrentUserEndpoint,"GET /api/v1/auth/me",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,LoginCommand
JwtTokenGenerationTest,"Unit test: token contains correct claims.",1,Todo,2,testing,Sprint 2,[EPIC] Identity & RBAC,GenerateJwtTokenService
RefreshTokenRotationTest,"Integration test: old refresh token invalid after rotation.",1,Todo,2,testing,Sprint 2,[EPIC] Identity & RBAC,RefreshTokenCommand
AccountLockoutTest,"Verify lockout after N failed attempts.",1,Todo,2,testing,Sprint 2,[EPIC] Identity & RBAC,LoginAttemptTracker
DefinePermissionCatalog,"Static catalog: {module}.{resource}.{action} for all MVP modules.",1,Todo,3,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,CreateSolutionStructure
CreatePermissionsTableMigration,"permissions, roles, role_permissions, user_roles tables.",1,Todo,2,database;rbac,Sprint 2,[EPIC] Identity & RBAC,DefinePermissionCatalog
SeedPermissionsCommand,"Idempotent permission seed on startup.",1,Todo,2,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,CreatePermissionsTableMigration
CreateRoleEntity,"Role entity with IsSystem flag to protect default roles.",1,Todo,2,backend,Sprint 2,[EPIC] Identity & RBAC,CreatePermissionsTableMigration
CreateRoleCommand,"Create custom role with name + description.",1,Todo,2,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,CreateRoleEntity
AssignPermissionsToRoleCommand,"Bulk assign permissions to role.",1,Todo,3,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,CreateRoleCommand
AssignRoleToUserCommand,"Assign role to user with optional scope (branch/class).",1,Todo,3,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,CreateRoleCommand
PermissionResolverService,"Resolve effective permissions for user. Cache in Redis.",1,Todo,5,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,AssignPermissionsToRoleCommand;CreateICacheService
CreateAuthorizationBehavior,"MediatR pipeline: check [RequirePermission] before handler.",1,Todo,3,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,PermissionResolverService
ScopeResolverService,"Filter data access by assigned scope (tenant/branch/class).",1,Todo,5,backend;rbac,Sprint 2,[EPIC] Identity & RBAC,AssignRoleToUserCommand
SeedDefaultRolesMigration,"Admin, Teacher, Accountant, Parent, Student default roles.",1,Todo,2,database;rbac,Sprint 2,[EPIC] Identity & RBAC,SeedPermissionsCommand
ListRolesEndpoint,"GET /api/v1/roles",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,CreateRoleCommand
CreateRoleEndpoint,"POST /api/v1/roles",1,Todo,1,api,Sprint 2,[EPIC] Identity & RBAC,CreateRoleCommand
